"Date","Total_Stable_Cap"
2024-08-20,168416129350
2024-08-21,168848538831
2024-08-22,169118178408
2024-08-23,169263047176
2024-08-24,169883581761
2024-08-25,170231397636
2024-08-26,170213266598
2024-08-27,169955364574
2024-08-28,169890982038
2024-08-29,170115356302
2024-08-30,170334445516
2024-08-31,170248452260
2024-09-01,169946916929
2024-09-02,170418397905
2024-09-03,170283831087
2024-09-04,169910551827
2024-09-05,170232423696
2024-09-06,169941539563
2024-09-07,169904818165
2024-09-08,170163319428
2024-09-09,170133481632
2024-09-10,170806850679
2024-09-11,170674813534
2024-09-12,170692881346
2024-09-13,170468448193
2024-09-14,171234624229
2024-09-15,171910975770
2024-09-16,171562484162
2024-09-17,171199690562
2024-09-18,171799005815
2024-09-19,172020046369
2024-09-20,171919152412
2024-09-21,172497426341
2024-09-22,172739970103
2024-09-23,172650832914
2024-09-24,172551430742
2024-09-25,172581260290
2024-09-26,172812618623
2024-09-27,173266001056
2024-09-28,173009394186
2024-09-29,173035277050
2024-09-30,173024265161
2024-10-01,172378242597
2024-10-02,172789567579
2024-10-03,172914918087
2024-10-04,172780036783
2024-10-05,172815426984
2024-10-06,173598107084
2024-10-07,172376510574
2024-10-08,172954814246
2024-10-09,173044523995
2024-10-10,173082822344
2024-10-11,172703121103
2024-10-12,173074844599
2024-10-13,173353448610
2024-10-14,173668844168
2024-10-15,172949914845
2024-10-16,173005694633
2024-10-17,172718746895
2024-10-18,172696563156
2024-10-19,173016199013
2024-10-20,173039022692
2024-10-21,172935767308
2024-10-22,173120828866
2024-10-23,172991391615
2024-10-24,172479951311
2024-10-25,171844545718
2024-10-26,172718733020
2024-10-27,172799454395
2024-10-28,173224136155
2024-10-29,172462649364
2024-10-30,173067100212
2024-10-31,173321405210
2024-11-01,172720022137
2024-11-02,173173741744
2024-11-03,173244129539
2024-11-04,173542155968
2024-11-05,174953362410
2024-11-06,175074116882
2024-11-07,176828482946
2024-11-08,177553806794
2024-11-09,178719506592
2024-11-10,178744309393
2024-11-11,180008780270
2024-11-12,180643657263
2024-11-13,180815870300
2024-11-14,181861806222
2024-11-15,184109981816
2024-11-16,184310585308
2024-11-17,184663762570
2024-11-18,185097558082
2024-11-19,185332603631
2024-11-20,186007041587
2024-11-21,187815100790
2024-11-22,188640926312
2024-11-23,190554226356
2024-11-24,192343276766
2024-11-25,192686091670
2024-11-26,191593207627
2024-11-27,191959798142
2024-11-28,193548032168
2024-11-29,194470785012
2024-11-30,195226961394
2024-12-01,193337865522
2024-12-02,193615271485
2024-12-03,194547160106
2024-12-04,194890717971
2024-12-05,196204128594
2024-12-06,196782568435
2024-12-07,197924964661
2024-12-08,198355887408
2024-12-09,199248240306
2024-12-10,199316394803
2024-12-11,199712913703
2024-12-12,201956479211
2024-12-13,202440302189
2024-12-14,203339773082
2024-12-15,203618879663
2024-12-16,203714779032
2024-12-17,204220381487
2024-12-18,204416930837
2024-12-19,204644643614
2024-12-20,205149267331
2024-12-21,205208138268
2024-12-22,205252435304
2024-12-23,205923285958
2024-12-24,205431454480
2024-12-25,205857005896
2024-12-26,206127176213
2024-12-27,206623296095
2024-12-28,206889357020
2024-12-29,206659537419
2024-12-30,206196093696
2024-12-31,205508945173
2025-01-01,204862085942
2025-01-02,204414239273
2025-01-03,206332544531
2025-01-04,208069367540
2025-01-05,208025095986
2025-01-06,207969539680
2025-01-07,208239493879
2025-01-08,207704601834
2025-01-09,207805062138
2025-01-10,207546916076
2025-01-11,207725589622
2025-01-12,207618946036
2025-01-13,207920775400
2025-01-14,207838764074
2025-01-15,208135939918
2025-01-16,208992402231
2025-01-17,209208658604
2025-01-18,210926734397
2025-01-19,210903162038
2025-01-20,211274463186
2025-01-21,211327644213
2025-01-22,214045422942
2025-01-23,215350656687
2025-01-24,216099776725
2025-01-25,216713990310
2025-01-26,216753703548
2025-01-27,216716409534
