"date","symbol","price","volume"
2019-01-01,"BTC",3843.52001953125,4324200990
2019-01-02,"BTC",3943.40942382812,5244856836
2019-01-03,"BTC",3836.7412109375,4530215219
2019-01-04,"BTC",3857.71752929688,4847965467
2019-01-05,"BTC",3845.19458007812,5137609824
2019-01-06,"BTC",4076.63256835938,5597027440
2019-01-07,"BTC",4025.24829101562,5228625637
2019-01-08,"BTC",4030.84790039062,5306593305
2019-01-09,"BTC",4035.29638671875,5115905225
2019-01-10,"BTC",3678.92456054688,6874143796
2019-01-11,"BTC",3687.36547851562,5538712865
2019-01-12,"BTC",3661.30102539062,4778170883
2019-01-13,"BTC",3552.953125,4681302466
2019-01-14,"BTC",3706.05224609375,5651384490
2019-01-15,"BTC",3630.67529296875,5537192302
2019-01-16,"BTC",3655.0068359375,5394457145
2019-01-17,"BTC",3678.56396484375,5464420383
2019-01-18,"BTC",3657.83935546875,5002961727
2019-01-19,"BTC",3728.568359375,5955691380
2019-01-20,"BTC",3601.013671875,5582489560
2019-01-21,"BTC",3576.03247070312,5004347059
2019-01-22,"BTC",3604.5771484375,5313623556
2019-01-23,"BTC",3585.123046875,5433755649
2019-01-24,"BTC",3600.86547851562,5262869046
2019-01-25,"BTC",3599.76586914062,5265847539
2019-01-26,"BTC",3602.46044921875,5098183235
2019-01-27,"BTC",3583.9658203125,5570752966
2019-01-28,"BTC",3470.45043945312,6908930483
2019-01-29,"BTC",3448.11694335938,5897159493
2019-01-30,"BTC",3486.181640625,5955112627
2019-01-31,"BTC",3457.79272460938,5831198271
2019-02-01,"BTC",3487.9453125,5422926707
2019-02-02,"BTC",3521.06079101562,5071623601
2019-02-03,"BTC",3464.01342773438,5043937584
2019-02-04,"BTC",3459.15405273438,5332718886
2019-02-05,"BTC",3466.357421875,5227549545
2019-02-06,"BTC",3413.76782226562,5482196038
2019-02-07,"BTC",3399.4716796875,5004962683
2019-02-08,"BTC",3666.7802734375,7735623101
2019-02-09,"BTC",3671.20361328125,6158833645
2019-02-10,"BTC",3690.18823242188,6282256903
2019-02-11,"BTC",3648.4306640625,6277056434
2019-02-12,"BTC",3653.52856445312,6480384532
2019-02-13,"BTC",3632.07055664062,6438903823
2019-02-14,"BTC",3616.880859375,6271044418
2019-02-15,"BTC",3620.81079101562,6091952231
2019-02-16,"BTC",3629.78759765625,5934744052
